#!LEGO_ID;LEGO DESCR;BL_ID;BL_DESC
1;White, WHITE V.3;1;White
27;Dark grey, DK.GREY;10;Dark Gray
114;Tr. Medium Reddish-Violet w. Glitter 2%, TR.M.R.V.GLI;100;Glitter Trans-Dark Pink
117;Transparent Glitter, TR.W.GLITTER;101;Glitter Trans-Clear
129;Tr. Bright Bluish Violet w. Glitter 2%, TR.BR.BL.V.G;102;Glitter Trans-Purple
226;Cool Yellow, COOL YEL., COMPD. COOL YELLOW V.3;103;Bright Light Yellow
222;Light Purple, LGH. PURPLE;104;Bright Pink
212;Light Royal blue, LGH. ROY. BLUE;105;Bright Light Blue
4;Brick Red;106;Fabuland Brown
230;TR. BR. PURPLE;107;Trans-Pink
311;Transparent Bright Green, TR. BR. GREEN ;108;Trans-Bright Green
196;Dark Royal blue, DK. R.BLUE;109;Dark Blue-Violet
26;Black, BLACK;11;Black
191;Flame yellowish orange, FL. YELL-ORA, COMPD. FLAME YELLOWISH ORANGE;110;Bright Light Orange
304;CO. SILVER DIF;111;Speckle Black-Silver
229;Transparent Light Bluish Green, TR. LGH. BL. GR;113;Trans-Aqua
284;TR. RED-LILAC, TR. RE-LILAC;114;Trans-Light Purple
297;Warm Gold, W.GOLD;115;Pearl Gold
306;COP. DIF.;116;Speckle Black-Copper
304;CO. SILVER DIF;117;Speckle DBGray-Silver
294;Phosphorescent Green, PH.GREEN;118;Glow In Dark Trans
150;Metallic Light Gray;119;Pearl Very Light Gray
40;Transparent, TR.;12;Trans-Clear
308;Dark Brown, DK. BROWN;120;Dark Brown
157;Transparent Fluorescent Yellow;121;Trans-Neon Yellow
;;122;Chrome Black
;;123;Mx White
;;124;Mx Light Bluish Gray
;;125;Mx Light Gray
;;126;Mx Charcoal Gray
;;127;Mx Tile Gray
;;128;Mx Black
;;129;Mx Red
111;Tr. Brown, TR.BROWN;13;Trans-Black
;;130;Mx Pink Red
;;131;Mx Tile Brown
;;132;Mx Brown
;;133;Mx Buff
;;134;Mx Terracotta
;;135;Mx Orange
;;136;Mx Light Orange
;;137;Mx Light Yellow
;;138;Mx Ochre Yellow
;;139;Mx Lemon
43;Tr. Blue, TR.BLUE;14;Trans-Dark Blue
;;140;Mx Olive Green
;;141;Mx Pastel Green
;;142;Mx Aqua Green
;;143;Mx Tile Blue
;;144;Mx Medium Blue
;;145;Mx Pastel Blue
;;146;Mx Teal Blue
;;147;Mx Violet
;;148;Mx Pink
;;149;Mx Clear
42;Tr. Lg blue, TR.L.BLUE, TR. LIGHT BLUE;15;Trans-Light Blue
312;Medium Nougat, M. NOUGAT;150;Medium Nougat
305;Warm Gold, Diffuse;151;Speckle Black-Gold
323;Aqua;152;Light Aqua
321;Dark Azur;153;Dark Azure
325;Lavender;154;Lavender
330;Olive Green, OLIVE GREEN;155;Olive Green
322;Medium Azure, MEDIUM AZUR;156;Medium Azure
324;Medium Lavender, MEDIUM LAVENDEL;157;Medium Lavender
326;Spring Yellow Green, SPR. YELL. GREE;158;Yellowish Green
329;WHITE GLOW;159;Glow in Dark White
49;Tr. Flu. Green, TR.FL.GREEN;16;Trans-Neon Green
19;Light Brown;160;Fabuland Orange
180;Curry ;161;Dark Yellow
302;PCTR LI.BLUE W/, TR LI.BLUE W/;162;Glitter Trans-Light Blue
339;TR.FL.GRE W/GLI;163;Glitter Trans-Neon Green
231;TR. FL. YEL ORA;164;Trans Light Orange
133;Neon Orange;165;Neon Orange
134;Neon Green;166;Neon Green
402;Red. Orange;167;Reddish Orange
423;Umber Brown;168;Umber
422;Sienna Brown;169;Sienna
41;Tr. Red, TR.RED;17;Trans-Red
376;Tr. Yellow Opal;170;Satin Trans-Yellow
225;Warm Yellowish Orange;172;Warm Yellowish Orange
47;Tr. Flu. Reddish orange, TR.FL.REDORA;18;Trans-Neon Orange
44;Tr. Yellow, TR.YEL;19;Trans-Yellow
5;Brick yellow, BRICK-YEL;2;Tan
48;Tr. Green, TR.GREEN;20;Trans-Green
310;Metalized Gold;21;Chrome Gold
;;210;Mx Foil Dark Gray
;;211;Mx Foil Light Gray
;;212;Mx Foil Dark Green
;;213;Mx Foil Light Green
;;214;Mx Foil Dark Blue
;;215;Mx Foil Light Blue
;;216;Mx Foil Violet
;;217;Mx Foil Red
;;218;Mx Foil Yellow
;;219;Mx Foil Orange
309;Metalized Silver;22;Chrome Silver
353;Coral, Vibrant Coral;220;Coral
285;Transparent Light Green;221;Trans-Light Green
341;TR.BR:ORA W/GLI;222;Glitter Trans-Orange
362;Transparent Blue Opal, TR.BLUE OPAL;223;Satin Trans-Light Blue
364;Transparent Medium Reddish Violet with Opalescence, Tr.M.Violet Opa;224;Satin Trans-Dark Pink
128;Dark Nougat, DARK NOUGAT;225;Dark Nougat
227;Transparent Bright Yellowish Green, TR. BR. YEL GR;226;Trans-Light Bright Green
218;RED. LILAC;227;Clikits Lavender
360;Transparent with Opalescence, Tr. Opalescence;228;Satin White
363;Transparent Brown With Opalescence;229;Satin Trans-Black
9;L.REDVIOL;23;Pink
365;Tr.Violet Opal;230;Satin Trans-Purple
123;Bright Reddish Orange;231;Dark Salmon
366;Transparent Blue With Opalescence;232;Satin Trans-Dark Blue
367;Transparent Green With Opalescence;233;Satin Trans-Bright Green
236;Transparent Bright Reddish Lilac;234;Trans-Medium Purple
189;Reddish Gold, Gold Metallic;235;Reddish Gold
368;Vibrant Yellow;236;Neon Yellow
178;Yellow Flip/Flop ;238;Bionicle Gold
179;Silver Flip/Flop;239;Bionicle Silver
104;Bright violet, BR. VIOLET;24;Purple
370;Medium Brown;240;Medium Brown
371;Warm Tan;241;Medium Tan
144;Dark Army Green;242;Dark Olive Green
149;Metallic Black, MET.BLACK ;244;Pearl Black
219;Lilac;245;Lilac
220;Light Lilac;246;Light Lilac
188;Tiny Blue;247;Little Robots Blue
14;Pastel Green;248;Fabuland Lime
346;Copper Metallic ;249;Reddish Copper
101;Medium Red;25;Salmon
300;COPPER, DR.LA.;250;Metallic Copper
375;Tr. Black;251;Trans-Black (2023)
184;Metallic Bright Red, MET. BR. RED ;252;Pearl Red
186;Metallic Dark Green, MET. DK. GREEN ;253;Pearl Green
185;Metallic Bright Blue, MET. BR. BLUE ;254;Pearl Blue
187;Metallic Earth Orange, MET. EAR.ORA ;255;Pearl Brown
100;Light red;26;Light Salmon
;;27;Rust
176;Red Flip/Flop ;273;Bionicle Copper
18;Nougat;28;Nougat
12;L.ORABROWN ;29;Earth Orange
24;Bright yellow, BR.YEL, BRIGHT YELLOW, VERSION 2;3;Yellow
105;Br. yellowish orange, BR.YELORA;31;Medium Orange
121;Medium Yellowish Orange;32;Light Orange
3;Light yellow;33;Light Yellow
119;Br. yellowish green, BR.YEL-GREEN, BRIGHT YELLOWISH GREEN;34;Lime
120;Lig. yellowish green, L.YEL-GREEN;35;Light Lime
37;Bright Green, BR.GREEN;36;Bright Green
29;Medium green, MD.GREEN;37;Medium Green
6;Light green, L.GREEN;38;Light Green
107;Bright bluish green, BR.BLUEGREEN;39;Dark Turquoise
106;Bright orange, BR.ORANGE;4;Orange
116;Med. bluish green, MD.BL-GREEN;40;Light Turquoise
118;Light bluish green, L.BLUE-GREEN;41;Aqua
102;Medium blue, MD.BLUE;42;Medium Blue
110;Bright Bluish Violet, BR.BLUEVIOL;43;Violet
39;Light bluish violet, L.BLUEVIOL;44;Light Violet
50;Phosp. White, PHOS.WHITE;46;Glow In Dark Opaque
221;Bright Purple, BR. PURPLE;47;Dark Pink
151;Sand green;48;Sand Green
103;Light grey;49;Very Light Gray
21;Bright red, BR.RED;5;Red
113;Tr. Medi. reddish violet, TR.ML.R.VIOL;50;Trans-Dark Pink
126;Tr. Bright bluish violet, TR.KL.BL.VIO;51;Trans-Purple
;;52;Chrome Blue
136;Sand violet;54;Sand Purple
135;Sand blue;55;Sand Blue
223;Light Pink;56;Light Pink
;;57;Chrome Antique Brass
153;Sand red;58;Sand Red
154;Dark red, NEW DARK RED;59;Dark Red
28;Dark green, DK.GREEN;6;Green
20;Nature;60;Milky White
127;Gold;61;Pearl Light Gold
45;Light blue;62;Light Blue
140;Earth blue;63;Dark Blue
;;64;Chrome Green
335;GOLD INK ;65;Metallic Gold
296;Cool silver ;66;Pearl Light Gray
336;SILVER INK ;67;Metallic Silver
38;Dark Orange, DK.ORA;68;Dark Orange
138;Sand yellow;69;Dark Tan
23;Bright Blue, BR.BLUE;7;Blue
;;70;Metallic Green
124;Bright reddish violet, BR.RED-VIOL.;71;Magenta
11;Pastel Blue, PASTBLU;72;Maersk Blue 
112;Medium Bluish Violet, ML.BLUEVIOL;73;Medium Violet
143;Tr. Flu. Blue, TR.FL. BLUE;74;Trans-Medium Blue
115;Med. yellowish green, MD.YEL-GREEN;76;Medium Lime
316;Titanium Metallic, TITAN. METAL.;77;Pearl Dark Gray
148;Mettalic Dark Grey, MET.DK.GREY ;77;Pearl Dark Gray 
145;Sand blue metallic, MET.SAND.BLU;78;Pearl Sand Blue
25;Earth Orange, EARTH-ORA ;8;Brown
141;Earth Green, EARTH GREEN;80;Dark Green
147;Gold Metallic, MET.SAND.YEL;81;Flat Dark Gold
;;82;Chrome Pink
183;Metallic White, MET. WHITE;83;Pearl White
139;Copper;84;Copper
199;Dark stone grey, DK. ST. GREY;85;Dark Bluish Gray
194;Medium stone grey, MED. ST-GREY;86;Light Bluish Gray
232;Dove blue, DO. BLUE;87;Sky Blue
192;Reddish Brown, RED. BROWN;88;Reddish Brown
268;Medium Lilac, M. LILAC;89;Dark Purple
2;Grey;9;Light Gray
283;Light Nougat, L.NOUGAT;90;Light Nougat
217;BROWN;91;Light Brown
198;Bright Reddish Lilac, BR. RED. LILAC;93;Light Purple
22;Medium Reddish Violet, MD.REDVIOL;94;Medium Dark Pink
315;Silver Metallic, SILVER MET.;95;Flat Silver
36;Light Yellowish Orange;96;Very Light Orange
195;R. BLUE;97;Blue-Violet
182;Tr. Bright Orange, TR. BR. ORANGE;98;Trans-Orange
208;Light stone grey, LGH. ST. GREY;99;Very Light Bluish Gray
